S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent,
5,Western Australia,50560,Beverley,117,13.0434783,115,13.2032147,232,13.12217195,
5,Western Australia,50630,Boddington,226,24.3272336,173,20.18669778,399,22.34042553,
5,Western Australia,50770,Boyup Brook,200,20.2224469,175,18.24817518,375,19.25051335,
5,Western Australia,50840,Bridgetown-Greenbushes,493,17.3591549,418,14.77553906,911,16.06985359,
5,Western Australia,50910,Brookton,82,16.5322581,76,16.5577342,158,16.54450262,
5,Western Australia,50980,Broome,2180,23.9955971,2043,21.44656729,4223,22.69088174,
5,Western Australia,51080,Broomehill-Tambellup,114,20.2486679,116,21.80451128,230,21.00456621,
5,Western Australia,51120,Bruce Rock,91,16.9459963,93,18.37944664,184,17.64141898,
5,Western Australia,51190,Bunbury,3035,17.5352438,2691,15.41237113,5726,16.46916705,
5,Western Australia,51260,Busselton,4090,19.0312224,3943,17.54159623,8033,18.26969001,
5,Western Australia,51310,Cambridge,3000,19.5758564,2777,17.56705466,5777,18.55587319,
5,Western Australia,51330,Canning,9457,17.9787457,8912,17.44372676,18369,17.71513439,
5,Western Australia,51400,Capel,2097,22.03657,2006,20.429779,4103,21.22058443,
5,Western Australia,51470,Carnamah,42,13.6363636,33,12.17712177,75,12.95336788,
5,Western Australia,51540,Carnarvon,564,19.5969423,496,18.71698113,1060,19.17510854,
5,Western Australia,51610,Chapman Valley,169,19.6055684,150,18.72659176,319,19.18220084,
5,Western Australia,51680,Chittering,617,18.612368,615,19.21274602,1232,18.9073051,
9,Other Territories,51710,Christmas Island,152,14.16589,127,16.93333333,279,15.30444323,
5,Western Australia,51750,Claremont,963,16.2944162,858,13.6885769,1821,14.95319428,
5,Western Australia,51820,Cockburn,12661,19.5370728,12028,18.36980925,24689,18.9504306,
9,Other Territories,51860,Cocos Islands,83,25.382263,56,18.42105263,139,22.02852615,
5,Western Australia,51890,Collie,897,19.0365025,738,16.10298931,1635,17.59010221,
5,Western Australia,51960,Coolgardie,359,17.8606965,343,20.46539379,702,19.04503527,
5,Western Australia,52030,Coorow,100,16.722408,70,13.7524558,170,15.35682023,
5,Western Australia,52100,Corrigin,85,15.7699443,97,19.79591837,182,17.68707483,
5,Western Australia,52170,Cottesloe,697,16.1379949,635,14.51096892,1332,15.31914894,
5,Western Australia,52240,Cranbrook,113,18.4339315,111,20.70895522,224,19.49521323,
5,Western Australia,52310,Cuballing,83,16.023166,58,13.39491917,141,14.82649842,
5,Western Australia,52380,Cue,6,4,10,12.34567901,16,6.926406926,
5,Western Australia,52450,Cunderdin,143,20.754717,129,20.37914692,272,20.57488654,
5,Western Australia,52520,Dalwallinu,147,20.1369863,181,25.27932961,328,22.68326418,
5,Western Australia,52590,Dandaragan,316,15.6435644,249,14.40972222,565,15.07470651,
5,Western Australia,52660,Dardanup,1647,21.1316397,1509,19.12305158,3156,20.12113484,
5,Western Australia,52730,Denmark,596,18.3497537,538,15.96439169,1134,17.13508613,
5,Western Australia,52800,Derby-West Kimberley,987,22.9748603,908,21.94827169,1895,22.47124392,
5,Western Australia,52870,Donnybrook-Balingup,557,17.5322631,552,16.92732291,1109,17.22584654,
5,Western Australia,52940,Dowerin,77,20.0520833,70,19.7740113,147,19.91869919,
5,Western Australia,53010,Dumbleyung,68,18.8365651,72,21.17647059,140,19.97146933,
5,Western Australia,53080,Dundas,55,15.0273224,29,8.656716418,84,11.9828816,
5,Western Australia,53150,East Fremantle,655,16.7305236,721,16.74019039,1376,16.73558745,
5,Western Australia,53220,East Pilbara,810,11.9416188,750,20.72968491,1560,14.99855783,
5,Western Australia,53290,Esperance,1431,19.2961165,1361,19.08568223,2792,19.19296075,
5,Western Australia,53360,Exmouth,333,18.3977901,298,17.99516908,631,18.20542412,
5,Western Australia,53430,Fremantle,2762,15.9000633,2635,14.81502305,5397,15.35113918,
5,Western Australia,53570,Gingin,455,14.3261965,398,13.78116343,853,14.06662269,
5,Western Australia,53640,Gnowangerup,154,22.3512337,127,21.89655172,281,22.14342002,
5,Western Australia,53710,Goomalling,91,18.1636727,88,18.10699588,179,18.13576494,
5,Western Australia,53780,Gosnells,14241,20.440062,13530,19.99024866,27771,20.21841214,
5,Western Australia,53800,Greater Geraldton,4234,20.397938,4169,19.70506215,8403,20.04819392,
