"Year","StateName","LGA_Name","Total_Persons","Percent_Change"
2014,"South Australia","Other LGA",1664321,0.907996810855218
2014,"Victoria","Melbourne",127975,7.80382609867662
2014,"Victoria","Other LGA",5766942,1.99831693125418
2014,"Western Australia","Other LGA",2492351,1.20700374031471
2014,"Western Australia","Perth",25257,3.86560842209154
2015,"New South Wales","Other LGA",7402131,1.34578578355459
2015,"New South Wales","Sydney",214037,4.6553814860451
2015,"Northern Territory","Darwin",84363,1.52229897229777
2015,"Northern Territory","Other LGA",160329,0.333550276602668
2015,"Queensland","Brisbane",1165437,1.42110351777511
2015,"Queensland","Other LGA",3612255,1.1681406709226
2015,"South Australia","Adelaide",23085,2.03765912305516
2015,"South Australia","Other LGA",1677583,0.796841474691481
2015,"Victoria","Melbourne",136872,6.95213908966595
2015,"Victoria","Other LGA",5885450,2.05495390798104
2015,"Western Australia","Other LGA",2514576,0.891728332004601
2015,"Western Australia","Perth",26096,3.3218513679376
2016,"New South Wales","Other LGA",7510141,1.4591743918069
2016,"New South Wales","Sydney",222717,4.05537360362928
2016,"Northern Territory","Darwin",85323,1.13793961807902
2016,"Northern Territory","Other LGA",160355,0.0162166545041758
2016,"Queensland","Brisbane",1184752,1.6573182419985
2016,"Queensland","Other LGA",3660400,1.33282395622679
2016,"South Australia","Adelaide",23552,2.02295863114577
2016,"South Australia","Other LGA",1689291,0.697908836701373
2016,"Victoria","Melbourne",146096,6.73914314103688
2016,"Victoria","Other LGA",6027076,2.40637504353958
2016,"Western Australia","Other LGA",2529099,0.577552637104625
2016,"Western Australia","Perth",26879,3.0004598405886
2017,"New South Wales","Other LGA",7627319,1.56026364884494
2017,"New South Wales","Sydney",227997,2.37072158838346
2017,"Northern Territory","Darwin",86339,1.19076919470717
2017,"Northern Territory","Other LGA",161073,0.447756540176483
2017,"Queensland","Brisbane",1206960,1.87448512431294
2017,"Queensland","Other LGA",3719420,1.61239208829636
2017,"South Australia","Adelaide",24188,2.70040760869565
2017,"South Australia","Other LGA",1704485,0.899430589519508
2017,"Victoria","Melbourne",155956,6.74898696747344
2017,"Victoria","Other LGA",6146652,1.98398029160409
2017,"Western Australia","Other LGA",2558608,1.16677915732045
2017,"Western Australia","Perth",27112,0.866847724989769
2018,"New South Wales","Other LGA",7725192,1.28319006980041
2018,"New South Wales","Sydney",229284,0.564481111593574
2018,"Northern Territory","Darwin",85788,-0.638182049826845
2018,"Northern Territory","Other LGA",161307,0.145275744538191
2018,"Queensland","Brisbane",1226938,1.65523298203752
2018,"Queensland","Other LGA",3779685,1.62027950594448
2018,"South Australia","Adelaide",24688,2.06714073094096
2018,"South Australia","Other LGA",1721449,0.99525663176854
